City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Celestun,MX,20.8667,-90.4,86.38,65,15,11.48,few clouds
183,Kindu,CD,-2.95,25.95,71.98,41,69,3.51,broken clouds
184,Leskovac,RS,42.9981,21.9461,76.62,74,68,1.63,broken clouds
185,Carnarvon,AU,-24.8667,113.6333,68.07,79,90,14.97,overcast clouds
186,Magelang,ID,-7.4706,110.2178,67.75,92,25,1.54,scattered clouds
187,Gravdal,NO,68.1214,13.5031,53.28,91,13,8.19,few clouds
188,Kahului,US,20.8947,-156.47,87.06,75,40,26.46,scattered clouds
189,Montepuez,MZ,-13.1256,38.9997,64.71,60,69,10.6,broken clouds
190,Saint-Pierre,RE,-21.3393,55.4781,67.64,85,75,8.05,light rain
191,Yeniseysk,RU,58.4497,92.1703,62.76,91,100,2.8,overcast clouds
192,Muroto,JP,33.2833,134.15,78.84,77,78,6.31,broken clouds
193,La Asuncion,VE,11.0333,-63.8628,74.93,100,13,13.8,few clouds
194,Trat,TH,12.5,102.5,75.13,96,78,2.39,light rain
195,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,95,40,16.11,scattered clouds
196,Longonjo,AO,-12.9067,15.2533,59.7,32,10,4.0,clear sky
197,Nuevo Laredo,MX,27.4763,-99.5164,102.18,30,1,11.5,clear sky
198,Klaksvik,FO,62.2266,-6.589,52.72,99,100,7.52,overcast clouds
199,Maraa,BR,-1.8333,-65.3667,78.42,81,95,3.29,overcast clouds
200,Lebu,CL,-37.6167,-73.65,47.71,69,7,16.35,clear sky
201,Beringovskiy,RU,63.05,179.3167,52.84,93,100,7.36,overcast clouds
202,Avarua,CK,-21.2078,-159.775,78.85,73,75,9.22,broken clouds
203,Bafilo,TG,9.35,1.2667,69.21,90,43,3.62,scattered clouds
204,Lompoc,US,34.6391,-120.4579,78.01,77,75,8.05,mist
205,Dikson,RU,73.5069,80.5464,37.81,100,100,4.61,overcast clouds
206,Saint-Augustin,CA,51.226,-58.6502,63.81,79,98,9.55,overcast clouds
207,Rovaniemi,FI,66.5,25.7167,60.21,77,0,8.05,clear sky
208,Shimoda,JP,34.6667,138.95,78.91,90,100,2.57,light rain
209,Riyadh,SA,24.6877,46.7219,95.14,16,92,8.16,overcast clouds
210,Georgetown,MY,5.4112,100.3354,82.89,88,20,3.44,few clouds
211,Marica,BR,-22.9194,-42.8186,75.11,68,0,9.51,clear sky
212,Elat,IL,29.5581,34.9482,94.84,31,0,13.8,clear sky
213,Coihaique,CL,-45.5752,-72.0662,40.95,65,75,3.44,broken clouds
214,Vao,NC,-22.6667,167.4833,67.95,60,100,16.89,overcast clouds
215,Korla,CN,41.7597,86.1469,82.85,27,0,8.79,clear sky
216,Ilulissat,GL,69.2167,-51.1,55.42,54,100,23.02,light rain
217,Concarneau,FR,47.875,-3.9225,64.06,95,100,7.83,overcast clouds
218,Dawson,US,31.7735,-84.4466,94.69,54,68,3.22,broken clouds
219,Kerman,IR,30.2832,57.0788,82.26,30,0,9.22,clear sky
220,Touros,BR,-5.1989,-35.4608,77.9,80,2,11.72,clear sky
221,Brownsville,US,25.9018,-97.4975,92.08,63,20,5.99,few clouds
222,Pitimbu,BR,-7.4706,-34.8086,77.59,82,22,10.0,few clouds
223,Cherskiy,RU,68.75,161.3,50.79,55,6,14.38,clear sky
224,Hualmay,PE,-11.0964,-77.6139,66.29,78,27,10.92,scattered clouds
225,Fenoarivo,MG,-18.933,47.4354,51.87,82,75,6.91,broken clouds
226,Port Blair,IN,11.6667,92.75,81.66,86,100,19.95,overcast clouds
227,Mattru,SL,7.6244,-11.8332,73.47,95,65,2.55,broken clouds
228,Evensk,RU,61.95,159.2333,51.66,90,95,2.53,overcast clouds
229,Kaitangata,NZ,-46.2817,169.8464,48.92,67,84,6.64,broken clouds
230,Takoradi,GH,4.8845,-1.7554,76.23,77,99,9.35,overcast clouds
231,Port Shepstone,ZA,-30.7414,30.455,58.3,71,94,8.16,overcast clouds
232,Coquimbo,CL,-29.9533,-71.3436,56.93,82,20,11.5,few clouds
233,Zhangye,CN,38.9342,100.4517,73.06,34,100,11.86,overcast clouds
234,Nisia Floresta,BR,-6.0911,-35.2086,77.81,86,0,7.34,clear sky
235,Udachnyy,RU,66.4167,112.4,76.37,52,31,3.58,scattered clouds
236,Hof,DE,50.3167,11.9167,66.38,83,66,4.0,broken clouds
237,Sabang,ID,5.8933,95.3214,83.25,77,83,17.92,broken clouds
238,Caravelas,BR,-17.7125,-39.2481,70.34,82,4,4.68,clear sky
239,Bumba,CD,2.1833,22.4667,74.43,82,100,4.92,overcast clouds
240,Jardim,BR,-21.4803,-56.1381,79.86,34,64,5.01,broken clouds
241,Ashoknagar,IN,24.5667,77.7167,75.2,96,100,17.47,overcast clouds
242,Marawi,PH,7.9986,124.2928,70.65,90,100,5.73,overcast clouds
243,Qandala,SO,11.472,49.8728,86.9,50,58,14.36,broken clouds
244,Ganzhou,CN,28.8184,115.4327,78.46,86,6,3.74,clear sky
245,Dunmore East,IE,52.1514,-6.9861,61.68,74,100,6.87,moderate rain
246,Concepcion,CL,-36.827,-73.0498,51.6,62,0,13.8,clear sky
247,Liverpool,GB,53.4106,-2.9779,64.94,79,20,3.0,few clouds
248,Mayumba,GA,-3.432,10.6554,70.74,93,97,4.61,overcast clouds
249,Biltine,TD,14.5333,20.9167,77.47,74,85,10.27,overcast clouds
250,Knyaze-Volkonskoye,RU,48.4642,135.4567,79.14,61,100,5.7,overcast clouds
251,Port Hawkesbury,CA,45.6169,-61.3485,70.59,97,90,1.01,mist
252,Saint George,US,37.1041,-113.5841,87.33,44,56,11.07,heavy intensity rain
253,Shelburne,CA,44.0787,-80.2041,82.56,26,7,10.11,clear sky
254,Kuna,US,43.4918,-116.4201,105.08,19,1,10.36,smoke
