City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Ballina,AU,2021-07-24 15:30:09,-28.8667,153.5667,56.79,71,1,5.75
147,Grand Gaube,MU,2021-07-24 15:32:44,-20.0064,57.6608,70.2,68,54,3.0
148,Jagtial,IN,2021-07-24 15:42:37,18.8,78.9333,77.52,86,100,6.85
149,Butaritari,KI,2021-07-24 15:42:38,3.0707,172.7902,83.37,72,0,15.3
150,Richards Bay,ZA,2021-07-24 15:42:38,-28.783,32.0377,57.43,73,18,6.98
151,The Valley,AI,2021-07-24 15:42:38,18.217,-63.0578,82.54,83,20,16.11
152,Padang,ID,2021-07-24 15:33:38,-0.9492,100.3543,78.51,86,78,3.4
153,Paamiut,GL,2021-07-24 15:42:39,61.994,-49.6678,41.94,98,100,4.99
154,Lesnyye Polyany,RU,2021-07-24 15:42:40,55.9667,37.8667,71.58,57,98,4.38
155,Krasnoborsk,RU,2021-07-24 15:42:40,61.5598,45.934,55.62,54,99,6.04
156,Canico,PT,2021-07-24 15:42:40,32.6333,-16.85,83.71,61,20,23.02
157,Jamestown,US,2021-07-24 15:28:55,42.097,-79.2353,78.39,58,1,5.99
158,Matagami,CA,2021-07-24 15:42:41,49.7502,-77.6328,69.91,60,1,14.97
159,Ilulissat,GL,2021-07-24 15:30:42,69.2167,-51.1,44.62,76,75,16.11
160,College,US,2021-07-24 15:42:42,64.8569,-147.8028,60.78,95,90,4.61
161,Sao Filipe,CV,2021-07-24 15:33:54,14.8961,-24.4956,74.25,74,82,8.32
162,Raga,SS,2021-07-24 15:42:42,8.4596,25.678,81.05,65,85,4.63
163,Lensk,RU,2021-07-24 15:42:43,60.7253,114.9278,67.42,68,75,2.77
164,Luanda,AO,2021-07-24 15:32:23,-8.8368,13.2343,75.2,73,20,11.5
165,Kanbe,MM,2021-07-24 15:42:43,16.7053,96.0017,77.05,91,100,7.16
166,Castro,BR,2021-07-24 15:34:01,-24.7911,-50.0119,70.88,39,0,7.52
167,Oussouye,SN,2021-07-24 15:42:44,12.485,-16.5469,95.18,52,91,11.21
168,Lorengau,PG,2021-07-24 15:42:45,-2.0226,147.2712,80.01,83,10,5.88
169,Cooma,AU,2021-07-24 15:41:05,-36.2333,149.1333,38.97,87,75,19.57
170,Manokwari,ID,2021-07-24 15:42:45,-0.8667,134.0833,78.44,73,100,4.27
171,Pimenta Bueno,BR,2021-07-24 15:42:46,-11.6725,-61.1936,96.49,23,72,4.14
172,Salalah,OM,2021-07-24 15:30:56,17.0151,54.0924,78.89,94,90,8.05
173,Crotone,IT,2021-07-24 15:42:47,39.0851,17.1178,91.35,43,0,9.22
174,Lieksa,FI,2021-07-24 15:42:47,63.3167,30.0167,62.33,56,100,1.9
175,Camargo,MX,2021-07-24 15:42:47,27.6667,-105.1667,81.52,39,83,4.79
176,Cuiluan,CN,2021-07-24 15:42:48,47.72,128.648,68.99,94,92,5.21
177,Presidente Epitacio,BR,2021-07-24 15:42:48,-21.7633,-52.1156,86.52,18,0,11.54
178,Awjilah,LY,2021-07-24 15:42:49,29.1081,21.2869,94.42,17,0,14.36
179,Kalmunai,LK,2021-07-24 15:42:49,7.4167,81.8167,83.66,67,99,11.99
